Nervousness,Unable to control,Worry,Trouble in Relaxation,Restlessness,Irritability,Fear,Stress
Mild,Moderate,Mild,Severe,Moderate,No,Mild,Mild
Moderate,No,No,No,Mild,Mild,Mild,Mild
Moderate,Mild,Mild,Severe,No,Severe,Mild,Moderate
Mild,Mild,Moderate,Severe,Mild,Mild,Severe,Moderate
Mild,Severe,No,Moderate,Severe,Mild,Mild,Moderate
Severe,Mild,No,No,No,Severe,Moderate,Mild
Moderate,No,No,Mild,No,Severe,Mild,Mild
Moderate,No,Mild,Moderate,Severe,No,Severe,Moderate
Severe,Mild,Moderate,Moderate,Mild,Mild,Moderate,Moderate
Moderate,No,Mild,No,Moderate,No,Mild,Mild
Mild,Moderate,Mild,No,Severe,No,Moderate,Mild
Moderate,No,Severe,No,Severe,Severe,Moderate,Moderate
No,No,Severe,Severe,No,Severe,No,Mild
Mild,No,Moderate,No,Moderate,Mild,Severe,Mild
Severe,No,Mild,Moderate,Moderate,Mild,Moderate,Moderate
Mild,Severe,Moderate,Moderate,Moderate,Severe,Severe,Severe
Moderate,Severe,Mild,Moderate,Severe,Mild,Mild,Moderate
Moderate,Moderate,No,Moderate,Moderate,Mild,Mild,Mild
No,No,Mild,Severe,Severe,Mild,Mild,Mild
Mild,No,Severe,No,No,Severe,Severe,Mild
Mild,Moderate,No,No,Severe,Mild,No,Mild
Severe,Severe,Severe,Mild,No,Mild,No,Moderate
Moderate,No,Severe,Moderate,Moderate,Mild,No,Mild
Moderate,No,No,Moderate,Mild,Mild,Severe,Mild
Mild,Moderate,No,Mild,Moderate,Severe,Moderate,Moderate
No,Moderate,Mild,Moderate,No,Mild,Mild,Mild
Severe,Severe,No,Severe,Moderate,Mild,Mild,Moderate
Mild,Severe,Moderate,Mild,Severe,Severe,Mild,Moderate
No,Severe,Mild,No,No,Severe,Mild,Mild
Moderate,Mild,Severe,Severe,Severe,Severe,Moderate,Severe
No,No,Mild,Severe,Mild,No,Moderate,Mild
Moderate,No,Moderate,Moderate,Mild,Severe,No,Mild
Moderate,Severe,Moderate,Mild,Mild,Severe,Moderate,Moderate
No,No,Severe,Mild,Severe,No,Severe,Mild
No,Moderate,Moderate,No,Severe,Moderate,Mild,Mild
Severe,No,Moderate,No,No,Severe,Moderate,Mild
Moderate,No,Severe,Moderate,Mild,Mild,No,Mild
No,No,Mild,No,Moderate,Mild,Mild,Mild
Mild,Mild,No,Moderate,Mild,Severe,Severe,Moderate
Severe,Severe,Mild,Mild,Moderate,Mild,Mild,Moderate
Severe,Severe,No,Moderate,Moderate,Moderate,Moderate,Moderate
Severe,Mild,Moderate,No,Severe,Severe,No,Moderate
No,No,Moderate,Severe,No,Moderate,No,Mild
No,Moderate,Moderate,Severe,Mild,No,Mild,Mild
Severe,Moderate,No,No,Severe,Moderate,Moderate,Moderate
Severe,No,Moderate,No,Mild,Severe,Mild,Mild
No,Moderate,No,No,Mild,Severe,Moderate,Mild
Mild,No,No,No,Severe,Severe,No,Mild
No,Severe,No,Mild,Mild,Moderate,No,Mild
Mild,No,Mild,Mild,Severe,Mild,No,Mild
No,Severe,No,Mild,Moderate,No,Mild,Mild
Mild,Moderate,Mild,Moderate,Mild,Severe,No,Mild
Moderate,Severe,Moderate,Mild,Mild,No,Moderate,Moderate
Severe,Moderate,Severe,No,Severe,Moderate,Moderate,Moderate
No,Severe,Moderate,Mild,Moderate,Mild,Moderate,Moderate
Mild,No,No,No,No,Moderate,Moderate,Mild
Mild,Moderate,Moderate,No,Moderate,No,No,Mild
No,No,Moderate,Moderate,Severe,Moderate,No,Mild
No,Severe,Mild,Mild,Mild,No,Moderate,Mild
Severe,No,Moderate,Moderate,Mild,Mild,Moderate,Moderate
Mild,Moderate,Moderate,Moderate,Moderate,Mild,No,Mild
Moderate,No,Moderate,Moderate,No,Moderate,Severe,Moderate
Moderate,Severe,Mild,Mild,Severe,Severe,Moderate,Moderate
No,Moderate,No,Mild,No,Severe,No,Mild
No,Severe,Mild,Moderate,Severe,Moderate,No,Moderate
Mild,Severe,Severe,No,No,Severe,No,Mild
Severe,Moderate,No,Moderate,Mild,Mild,No,Mild
Mild,No,Moderate,Moderate,Mild,Mild,Mild,Mild
No,Severe,No,Mild,Severe,No,Severe,Mild
Severe,Severe,Mild,Severe,Moderate,Severe,Mild,Severe
No,Moderate,Mild,Severe,Mild,Severe,No,Mild
Severe,Moderate,Mild,Mild,Severe,No,No,Mild
Mild,Moderate,No,No,Moderate,No,No,Mild
Mild,Severe,Mild,Severe,Moderate,No,Severe,Moderate
Moderate,Severe,Moderate,Moderate,Moderate,Moderate,No,Moderate
Severe,Moderate,Severe,Moderate,Severe,Moderate,Severe,Severe
Mild,Mild,No,Moderate,Moderate,Mild,No,Mild
Mild,No,Mild,Mild,Moderate,Mild,No,Mild
No,Severe,Moderate,Moderate,Moderate,Moderate,No,Moderate
Severe,No,Severe,Mild,Severe,No,Mild,Moderate
Moderate,No,Moderate,No,No,Severe,No,Mild
No,Severe,No,Mild,Moderate,Mild,No,Mild
Moderate,No,No,Mild,Severe,No,Moderate,Mild
Moderate,Severe,Severe,Moderate,Mild,Severe,Moderate,Severe
Severe,Mild,Severe,Mild,Severe,Moderate,Moderate,Moderate
Mild,Severe,No,Mild,Severe,No,Moderate,Mild
Mild,No,Severe,Severe,Mild,Severe,No,Moderate
Mild,Mild,Severe,Severe,No,Severe,No,Moderate
Severe,Moderate,Moderate,Severe,Moderate,Moderate,Moderate,Severe
Moderate,Moderate,No,Severe,Severe,No,Moderate,Moderate
No,Moderate,Moderate,Moderate,No,Severe,No,Mild
No,Mild,Mild,No,Moderate,Severe,No,Mild
Moderate,No,No,Severe,Moderate,No,Severe,Mild
Mild,Moderate,Moderate,Mild,Mild,Severe,No,Mild
Mild,Severe,Moderate,Mild,Severe,Severe,Severe,Severe
Severe,No,No,Severe,No,Mild,Severe,Mild
Mild,Severe,Moderate,No,No,Moderate,Severe,Moderate
Severe,Moderate,Mild,Moderate,Severe,No,Mild,Moderate
Moderate,Mild,Severe,Severe,Moderate,Severe,Mild,Moderate
Severe,Moderate,Moderate,No,Moderate,Severe,No,Moderate
No,Severe,Severe,Mild,No,Mild,Moderate,Mild
No,Mild,No,Mild,Severe,Severe,Moderate,Mild
No,No,Mild,Mild,Moderate,Severe,No,Mild
No,Mild,No,Moderate,Severe,Severe,Moderate,Moderate
No,No,Severe,Severe,Mild,Moderate,Severe,Moderate
Severe,Severe,Moderate,Moderate,No,No,No,Mild
No,No,Mild,Mild,Moderate,No,Moderate,Mild
No,No,No,Severe,Moderate,No,Severe,Mild
Moderate,Severe,Severe,Severe,Mild,Mild,Severe,Severe
Mild,Mild,Mild,Moderate,No,No,Moderate,Mild
Severe,No,Mild,No,Moderate,Mild,Moderate,Mild
Severe,No,No,Mild,Mild,Moderate,Moderate,Mild
Mild,Mild,Mild,Severe,Severe,No,Severe,Moderate
Moderate,Severe,Moderate,Moderate,Moderate,Severe,Moderate,Severe
Severe,Severe,Severe,Severe,Moderate,Mild,Severe,Severe
No,Mild,Severe,Severe,No,Severe,Mild,Moderate
No,Mild,No,Mild,No,Moderate,Severe,Mild
No,Mild,Severe,Moderate,No,No,Severe,Mild
Severe,Mild,No,Severe,No,Moderate,Mild,Mild
Severe,Moderate,Moderate,Moderate,No,Moderate,Moderate,Moderate
Moderate,Mild,Moderate,No,Moderate,Severe,No,Mild
Severe,Severe,Mild,Moderate,Moderate,Mild,Severe,Moderate
Severe,No,No,No,Mild,Mild,No,Mild
Moderate,Severe,Mild,No,No,Moderate,Moderate,Mild
Severe,Moderate,Severe,Severe,No,Mild,No,Moderate
No,No,No,Mild,Severe,Severe,No,Mild
Severe,Severe,Severe,Mild,No,Mild,Moderate,Moderate
Mild,Severe,No,Moderate,Moderate,Moderate,Moderate,Moderate
No,No,Moderate,Severe,Moderate,Mild,Moderate,Mild
Mild,Mild,Mild,Severe,Mild,Mild,Moderate,Mild
No,No,Severe,No,No,Severe,Severe,Mild
Severe,Severe,Severe,Moderate,Severe,Mild,Severe,Severe
Moderate,Mild,Severe,No,No,Mild,No,Mild
Moderate,Mild,Mild,Mild,Mild,Severe,Mild,Mild
No,Moderate,No,No,Severe,Moderate,No,Mild
No,Severe,No,No,Mild,Moderate,Moderate,Mild
Mild,Severe,Mild,Mild,Moderate,Moderate,Mild,Moderate
Severe,Moderate,Mild,Mild,No,Severe,Mild,Moderate
No,Moderate,Moderate,Mild,Moderate,Severe,Moderate,Moderate
Moderate,Mild,Severe,Severe,No,No,Mild,Mild
No,Moderate,Mild,Severe,No,Mild,No,Mild
Severe,Moderate,Moderate,Moderate,Mild,No,No,Mild
Mild,No,Severe,Moderate,Severe,Moderate,Severe,Moderate
Severe,Mild,No,Mild,No,Mild,Moderate,Mild
Severe,Severe,Mild,No,Moderate,No,Mild,Mild
Mild,No,Severe,Moderate,Moderate,No,Mild,Mild
Moderate,Mild,Mild,No,No,No,Mild,Mild
Mild,No,Moderate,No,Severe,Moderate,Severe,Moderate
No,Mild,No,Severe,Mild,No,Moderate,Mild
No,Mild,Moderate,Severe,Mild,Mild,No,Mild
Moderate,Moderate,Moderate,No,Severe,Moderate,Moderate,Moderate
Severe,No,Mild,Moderate,Moderate,Moderate,Mild,Moderate
Mild,Moderate,Mild,Mild,No,Mild,No,Mild
No,Severe,Moderate,Severe,No,Severe,Moderate,Moderate
Mild,Severe,Mild,Moderate,Severe,Mild,Moderate,Moderate
No,No,Severe,Moderate,No,Severe,Severe,Moderate
No,Severe,No,Mild,Moderate,No,No,Mild
Moderate,No,No,Severe,Severe,Mild,Severe,Moderate
Moderate,Severe,No,Moderate,No,Mild,Mild,Mild
No,No,Mild,Severe,Severe,Mild,No,Mild
Moderate,Mild,Moderate,No,No,Mild,Moderate,Mild
Mild,Severe,No,Severe,Severe,No,Severe,Moderate
Severe,Mild,No,Moderate,Severe,No,Moderate,Moderate
Mild,Severe,Severe,Mild,Severe,Moderate,Severe,Severe
Severe,Moderate,Severe,No,Severe,Moderate,Mild,Moderate
Moderate,Severe,No,Moderate,No,No,Mild,Mild
Moderate,Severe,No,Severe,Severe,Moderate,No,Moderate
No,No,No,Mild,No,Moderate,Severe,Mild
Mild,No,Mild,No,Mild,No,Mild,No
No,Mild,Severe,Mild,Moderate,Moderate,Severe,Moderate
No,Moderate,Severe,Moderate,Mild,Mild,Severe,Moderate
Moderate,Mild,Severe,Mild,Moderate,Moderate,No,Moderate
Mild,Moderate,No,No,Severe,Mild,Moderate,Mild
Mild,Severe,Moderate,Severe,Mild,Moderate,Severe,Moderate
No,No,Moderate,Mild,Severe,No,Moderate,Mild
Moderate,Moderate,Moderate,Mild,Moderate,No,Moderate,Moderate
Moderate,Mild,Mild,Moderate,Moderate,Mild,No,Mild
Moderate,Moderate,No,No,Moderate,No,No,Mild
No,Mild,No,No,Severe,No,Mild,Mild
Severe,Mild,Severe,Mild,Moderate,No,No,Mild
Moderate,Moderate,Severe,Severe,Severe,Severe,Severe,Severe
Severe,No,No,Mild,No,Mild,No,Mild
Severe,Mild,No,No,Mild,No,No,Mild
No,Severe,Severe,Severe,Moderate,Moderate,Severe,Severe
Mild,Mild,Moderate,Mild,Severe,Severe,Severe,Moderate
Mild,Mild,No,No,Severe,Mild,Mild,Mild
Severe,Mild,Moderate,Mild,Severe,Mild,Moderate,Moderate
No,Moderate,No,Severe,No,Severe,Mild,Mild
Severe,Mild,Severe,Moderate,Mild,Severe,Mild,Moderate
Mild,Moderate,No,Severe,Severe,Mild,Mild,Moderate
Severe,No,Mild,No,Mild,No,Severe,Mild
Moderate,Mild,Moderate,Mild,Moderate,Moderate,No,Mild
No,Severe,No,No,Severe,Mild,Mild,Mild
Moderate,Mild,Severe,No,Severe,Mild,No,Mild
Mild,Mild,Mild,Mild,Severe,No,Moderate,Mild
Mild,Mild,Moderate,Mild,Severe,Mild,Moderate,Moderate
Severe,Moderate,Moderate,Moderate,Mild,No,Severe,Moderate
Severe,Moderate,No,No,Severe,Severe,Severe,Moderate
Severe,Moderate,No,Severe,Moderate,No,Mild,Moderate
Severe,Moderate,Severe,No,Severe,Mild,Severe,Moderate
No,Severe,Severe,Severe,Moderate,Mild,Severe,Moderate
Severe,No,Severe,No,Moderate,Severe,Mild,Moderate
No,Severe,Mild,No,Severe,Severe,Severe,Moderate
Severe,Severe,Mild,Moderate,Moderate,Severe,Severe,Severe
Moderate,No,Moderate,No,No,Moderate,Moderate,Mild
No,No,Severe,No,Severe,Mild,Moderate,Mild
No,Severe,Severe,Moderate,Mild,Moderate,Severe,Moderate
Moderate,Mild,No,Moderate,Moderate,No,No,Mild
Moderate,Severe,Severe,No,Moderate,Severe,No,Moderate
No,Mild,No,Moderate,Mild,Severe,Severe,Mild
Severe,Moderate,Severe,Moderate,No,Severe,Mild,Moderate
No,Severe,Moderate,Severe,No,Moderate,Severe,Moderate
Mild,Severe,No,Severe,Moderate,No,Mild,Mild
Moderate,No,No,Mild,Severe,Mild,Mild,Mild
Mild,No,Mild,Moderate,No,Severe,Severe,Mild
No,Moderate,Severe,Moderate,Mild,No,Mild,Mild
Severe,Moderate,Severe,Mild,Severe,No,Mild,Moderate
Moderate,Severe,Moderate,Mild,Severe,Mild,Severe,Moderate
No,Severe,No,Severe,Severe,No,Severe,Moderate
Severe,No,Moderate,Severe,Moderate,Severe,Severe,Severe
Moderate,Mild,Severe,Severe,No,Mild,Moderate,Moderate
Moderate,Mild,Moderate,Mild,Moderate,Mild,No,Mild
Severe,No,Mild,Mild,Mild,No,Moderate,Mild
Severe,No,Severe,No,No,Moderate,Moderate,Mild
Severe,Severe,Moderate,No,No,No,Mild,Mild
Mild,Mild,Mild,Mild,Severe,No,Severe,Mild
Moderate,Severe,Moderate,Moderate,Mild,Severe,No,Moderate
No,Moderate,Moderate,Mild,Moderate,Moderate,Severe,Moderate
Mild,No,Moderate,Mild,Severe,Moderate,Severe,Moderate
Severe,No,Mild,No,Moderate,Moderate,No,Mild
No,No,Severe,Moderate,Severe,Moderate,Severe,Moderate
Moderate,Mild,No,Mild,Moderate,No,Moderate,Mild
No,Mild,Moderate,Moderate,Severe,Severe,Severe,Moderate
Severe,Moderate,Severe,No,Severe,Severe,Severe,Severe
Severe,Moderate,Mild,Severe,Moderate,Moderate,Mild,Moderate
No,Moderate,Severe,Mild,No,Severe,Moderate,Moderate
Severe,Moderate,Severe,Mild,Mild,Mild,Severe,Moderate
Moderate,Mild,Mild,Moderate,No,No,Severe,Mild
Moderate,Mild,Moderate,No,Moderate,Mild,Severe,Moderate
Moderate,Moderate,Moderate,Moderate,No,Mild,No,Mild
No,Severe,No,Severe,No,Severe,Moderate,Moderate
Moderate,Moderate,Mild,Moderate,Mild,No,Severe,Moderate
Severe,Severe,Severe,No,Mild,Moderate,No,Moderate
Severe,Moderate,Moderate,Moderate,Severe,No,Severe,Moderate
Mild,No,Moderate,Mild,Moderate,No,Mild,Mild
Severe,Moderate,Mild,Moderate,No,Severe,No,Moderate
Severe,No,No,Mild,Severe,Mild,No,Mild
Moderate,No,No,Severe,Moderate,Moderate,No,Mild
Moderate,No,Moderate,Mild,Mild,Severe,No,Mild
No,Moderate,No,Severe,No,Mild,No,Mild
No,Mild,Moderate,No,Moderate,Severe,Mild,Mild
Mild,No,No,Severe,Moderate,Severe,Moderate,Moderate
Mild,Moderate,Mild,Mild,Severe,Moderate,Mild,Moderate
Severe,Severe,Mild,Mild,Severe,Severe,Moderate,Severe
Moderate,Mild,Moderate,Moderate,Moderate,Mild,Severe,Moderate
Moderate,Mild,Severe,No,Mild,Mild,Mild,Mild
Severe,Severe,Moderate,Severe,No,Moderate,Mild,Moderate
No,Severe,Mild,Mild,No,Mild,No,Mild
Mild,Severe,No,Mild,No,Moderate,No,Mild
Mild,Severe,No,Moderate,Mild,Moderate,No,Mild
Mild,Mild,Severe,Moderate,No,Mild,No,Mild
Moderate,No,Severe,No,No,Moderate,Severe,Mild
No,No,Severe,No,Severe,No,Severe,Mild
Moderate,Mild,Moderate,Moderate,No,No,Moderate,Mild
Mild,Mild,Severe,Moderate,No,Moderate,No,Mild
Mild,Moderate,Mild,No,Moderate,No,Moderate,Mild
Moderate,Moderate,Moderate,Severe,No,Moderate,Moderate,Moderate
Moderate,No,Moderate,Moderate,Mild,Moderate,Mild,Mild
Severe,Mild,Severe,Mild,Mild,No,Severe,Moderate
No,No,Mild,No,Mild,No,Moderate,No
Mild,Moderate,No,Severe,Severe,Mild,No,Mild
Moderate,Severe,Moderate,No,Severe,Moderate,Severe,Moderate
No,No,Moderate,Severe,Moderate,Severe,Severe,Moderate
No,Severe,No,Moderate,Mild,Moderate,No,Mild
Mild,Severe,Mild,Moderate,No,Severe,Severe,Moderate
No,Moderate,Mild,No,No,Mild,Severe,Mild
Mild,No,No,Mild,Moderate,Moderate,Moderate,Mild
Severe,Mild,Moderate,Moderate,No,Severe,Severe,Moderate
Severe,No,No,Severe,No,No,Moderate,Mild
Mild,Moderate,Mild,Severe,Severe,Severe,Moderate,Moderate
No,Severe,Severe,Moderate,Moderate,Mild,Moderate,Moderate
No,Mild,Mild,No,Mild,Mild,Moderate,Mild
No,Moderate,Mild,Moderate,No,Mild,Severe,Mild
No,Severe,No,No,Moderate,Severe,Severe,Moderate
Mild,Moderate,Severe,Severe,Mild,Severe,Mild,Moderate
Severe,Severe,Severe,Moderate,Severe,Moderate,Severe,Severe
Mild,No,Mild,Severe,Severe,Mild,Severe,Moderate
No,Mild,Mild,Mild,No,Mild,Mild,Mild
No,Mild,Mild,No,Mild,Severe,No,Mild
Moderate,No,Mild,Moderate,No,Mild,Mild,Mild
Severe,No,Moderate,Severe,Moderate,No,Moderate,Moderate
No,Severe,No,Moderate,Moderate,Moderate,Mild,Mild
No,Moderate,Moderate,Mild,Severe,Severe,Moderate,Moderate
Severe,Mild,Severe,No,Severe,Mild,Moderate,Moderate
Severe,No,Mild,Moderate,No,Moderate,Mild,Mild
Moderate,Moderate,No,Moderate,Mild,Moderate,Moderate,Moderate
Mild,No,Mild,Severe,Moderate,No,Mild,Mild
Severe,Severe,Moderate,Mild,No,Severe,Severe,Moderate
Severe,Mild,Moderate,Mild,No,Severe,Severe,Moderate
Severe,Severe,No,Mild,No,Mild,Mild,Mild
No,No,Severe,Severe,Mild,Moderate,No,Mild
Moderate,Severe,Severe,No,Severe,No,No,Moderate
Moderate,Severe,Severe,No,Severe,Severe,Severe,Severe
Moderate,No,Moderate,Severe,Mild,Moderate,No,Mild
Moderate,Moderate,No,Severe,Severe,No,Severe,Moderate
Mild,Mild,Moderate,Mild,Severe,No,Mild,Mild
No,Mild,No,No,No,Mild,No,No
No,Mild,Moderate,Mild,No,No,No,No
No,Severe,No,Severe,No,No,No,Mild
Moderate,Moderate,Mild,Severe,Severe,Moderate,Mild,Moderate
Mild,Severe,Moderate,Mild,No,No,Moderate,Mild
Moderate,Severe,Moderate,Severe,Mild,Moderate,Moderate,Moderate
No,Mild,Mild,No,Moderate,Mild,Severe,Mild
No,Mild,No,Severe,Moderate,Severe,No,Mild
Moderate,Severe,No,No,Severe,Moderate,Mild,Moderate
Severe,Moderate,Moderate,Mild,No,Moderate,Severe,Moderate
Severe,Mild,No,Mild,Mild,Severe,Severe,Moderate
Mild,Moderate,No,Moderate,Severe,Moderate,Moderate,Moderate
No,Moderate,No,No,No,Moderate,Severe,Mild
Mild,Moderate,No,No,No,Moderate,Severe,Mild
Mild,No,Severe,No,Severe,Severe,No,Mild
Moderate,No,Severe,Mild,Moderate,Mild,Severe,Moderate
Severe,Mild,Severe,No,Moderate,Mild,Severe,Moderate
Severe,Moderate,Moderate,Severe,Mild,Moderate,Moderate,Moderate
Severe,No,Mild,No,Severe,No,Moderate,Mild
Mild,Severe,Severe,Mild,Moderate,Severe,No,Moderate
No,Severe,Moderate,No,No,Mild,Severe,Mild
No,Moderate,No,Severe,Moderate,Severe,No,Mild
Severe,Severe,Mild,Mild,No,Moderate,Moderate,Moderate
No,No,Severe,Moderate,Mild,Mild,Mild,Mild
Mild,No,Moderate,Moderate,No,Severe,No,Mild
No,Severe,Mild,Mild,No,No,Severe,Mild
Moderate,No,Mild,No,No,Severe,Moderate,Mild
Moderate,Moderate,Mild,Moderate,Mild,Moderate,No,Mild
Moderate,Moderate,Moderate,Severe,Mild,Mild,Moderate,Moderate
Mild,No,No,Mild,Severe,No,Moderate,Mild
No,Moderate,Severe,Severe,Moderate,No,Severe,Moderate
Severe,No,Mild,No,Severe,Severe,No,Mild
Severe,Moderate,Mild,Mild,No,No,Severe,Mild
Moderate,Mild,No,Severe,Severe,No,Mild,Mild
Severe,Moderate,Severe,Severe,Moderate,No,Mild,Moderate
Moderate,No,Moderate,Moderate,Mild,Moderate,Severe,Moderate
Severe,Severe,No,Moderate,Mild,No,Severe,Moderate
Moderate,Mild,Moderate,No,No,Moderate,Moderate,Mild
Mild,No,Moderate,Moderate,Severe,Moderate,Mild,Moderate
Moderate,Mild,Mild,Severe,No,Mild,Moderate,Mild
No,Moderate,Mild,Severe,No,Severe,Mild,Mild
Severe,Moderate,Mild,No,No,Mild,Moderate,Mild
No,No,Mild,Severe,Mild,No,Mild,Mild
Moderate,Moderate,Mild,Moderate,Moderate,No,Mild,Mild
Moderate,Severe,Moderate,Mild,Severe,Severe,Severe,Severe
No,Moderate,Mild,Mild,Moderate,No,Severe,Mild
Mild,Severe,No,Moderate,Mild,Mild,Severe,Moderate
Mild,Severe,Severe,Severe,No,Mild,No,Moderate
Moderate,No,Mild,No,Mild,Moderate,Mild,Mild
Severe,Moderate,Moderate,No,Mild,Mild,Moderate,Moderate
No,No,Mild,No,Moderate,No,Mild,No
Mild,Mild,Moderate,No,Severe,Moderate,No,Mild
Severe,Moderate,Severe,No,No,No,Mild,Mild
No,Severe,Moderate,No,No,No,Mild,Mild
Severe,Mild,No,No,Moderate,No,Mild,Mild
Moderate,No,Mild,No,Moderate,Severe,Mild,Mild
Severe,Severe,Mild,Mild,No,Severe,No,Moderate
No,Mild,Mild,No,No,No,Moderate,No
Mild,Severe,Mild,Moderate,Mild,Mild,Moderate,Moderate
Moderate,Severe,Mild,Severe,No,Severe,Mild,Moderate
Moderate,Severe,Mild,Moderate,Severe,No,Severe,Moderate
No,Severe,Moderate,No,Mild,No,Moderate,Mild
No,No,Moderate,Severe,Moderate,Moderate,Mild,Mild
Severe,Severe,No,No,Severe,Moderate,Severe,Moderate
Severe,Mild,No,Mild,Severe,Severe,Moderate,Moderate
Severe,Severe,Moderate,No,Mild,Mild,Moderate,Moderate
No,Mild,No,No,Mild,No,Mild,No
Mild,Moderate,Moderate,Mild,Moderate,No,Severe,Moderate
Moderate,Moderate,Mild,No,Mild,Severe,No,Mild
Moderate,Severe,Mild,Severe,Mild,Mild,Moderate,Moderate
Severe,Moderate,Mild,Mild,No,No,Mild,Mild
No,No,Moderate,Mild,Mild,Severe,Mild,Mild
Mild,No,Moderate,Moderate,No,No,Mild,Mild
No,Moderate,Severe,Severe,No,Mild,Severe,Moderate
Moderate,Mild,Severe,Mild,Severe,Moderate,No,Moderate
Moderate,Severe,No,No,Moderate,No,Severe,Mild
Severe,Severe,Moderate,Moderate,Moderate,Severe,Moderate,Severe
Severe,Severe,Moderate,Mild,No,Mild,No,Mild
Mild,Mild,Severe,Mild,No,Moderate,No,Mild
Severe,Severe,Moderate,No,Severe,Moderate,No,Moderate
Severe,No,Severe,Moderate,No,No,Moderate,Mild
No,No,Severe,No,Severe,Severe,Severe,Moderate
Moderate,Moderate,Moderate,Mild,Severe,No,Moderate,Moderate
Mild,Severe,No,No,Mild,Severe,Severe,Moderate
No,Moderate,Mild,No,No,Moderate,Mild,Mild
Severe,Moderate,Moderate,Moderate,Mild,Moderate,Mild,Moderate
No,Severe,Severe,No,Severe,Moderate,Severe,Moderate
Mild,Severe,Mild,Mild,Severe,Mild,Mild,Moderate
Severe,Mild,No,Mild,Severe,No,No,Mild
Severe,Mild,No,No,No,Mild,Moderate,Mild
Moderate,Mild,Moderate,Mild,Mild,Mild,Moderate,Mild
Moderate,Moderate,Severe,No,Moderate,Mild,Moderate,Moderate
No,Mild,No,No,Moderate,No,Severe,Mild
Moderate,No,No,Moderate,Moderate,No,Moderate,Mild
Moderate,Mild,No,No,Mild,Mild,Mild,Mild
Mild,Severe,Moderate,Moderate,Mild,Severe,Moderate,Moderate
Mild,Severe,Moderate,Moderate,No,Mild,Moderate,Moderate
Mild,Mild,Severe,Mild,Mild,Moderate,Moderate,Moderate
Mild,Moderate,No,Mild,Mild,Moderate,No,Mild
No,Mild,Moderate,No,Severe,Severe,Mild,Mild
Mild,Moderate,Mild,Mild,Mild,Severe,No,Mild
Severe,Moderate,Mild,Severe,Moderate,Severe,Moderate,Severe
Severe,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Severe,Moderate,Mild,Mild,No,Mild,Severe,Moderate
Moderate,No,Severe,No,No,No,Severe,Mild
Severe,Mild,No,No,Mild,No,Moderate,Mild
Severe,Moderate,No,Mild,No,No,Severe,Mild
Severe,Mild,Mild,Severe,No,No,No,Mild
Moderate,Mild,Severe,Mild,No,No,No,Mild
Mild,No,Moderate,Moderate,No,Moderate,No,Mild
Moderate,No,Severe,Severe,No,Severe,Moderate,Moderate
Severe,Severe,Severe,Mild,Mild,Moderate,No,Moderate
Moderate,Mild,Mild,Severe,Moderate,Moderate,No,Moderate
Moderate,No,Mild,Mild,Severe,Moderate,Moderate,Moderate
Mild,Mild,Mild,Moderate,Severe,Severe,Moderate,Moderate
Mild,No,Moderate,Mild,Severe,Severe,Mild,Moderate
Severe,Moderate,No,Moderate,No,Moderate,No,Mild
Severe,Mild,Moderate,No,No,Mild,Severe,Mild
Severe,Moderate,Mild,No,Severe,Moderate,Moderate,Moderate
No,No,Moderate,Moderate,Moderate,Mild,Mild,Mild
Moderate,Mild,Mild,Moderate,Moderate,Severe,No,Moderate
Mild,Mild,Severe,Severe,Severe,No,Severe,Moderate
Moderate,Moderate,Mild,Severe,No,Mild,No,Mild
Severe,Moderate,Mild,Moderate,No,Moderate,No,Mild
Mild,Severe,No,No,Mild,Moderate,Severe,Mild
Mild,Moderate,Moderate,No,Severe,Moderate,Mild,Moderate
Moderate,Moderate,Mild,No,Severe,Severe,Severe,Moderate
Mild,No,Mild,Mild,Severe,Moderate,Severe,Moderate
Severe,Moderate,Severe,Moderate,Moderate,Mild,No,Moderate
Mild,No,Moderate,No,No,Moderate,Mild,Mild
Moderate,Moderate,No,Moderate,Moderate,Moderate,Moderate,Moderate
No,Severe,Severe,Mild,Mild,Severe,Moderate,Moderate
Mild,No,Severe,No,Mild,No,No,Mild
Moderate,Severe,Moderate,Mild,Mild,Moderate,Mild,Moderate
No,Moderate,Severe,Moderate,Severe,Severe,No,Moderate
Severe,Severe,Severe,Severe,Mild,No,No,Moderate
Severe,No,No,No,Mild,Moderate,Moderate,Mild
No,Severe,No,Mild,Severe,Severe,Mild,Moderate
No,Moderate,Severe,Severe,Severe,No,Severe,Moderate
Moderate,Mild,Mild,Moderate,Mild,No,Mild,Mild
Moderate,Severe,Severe,Mild,No,No,Severe,Moderate
Moderate,Moderate,Moderate,Moderate,No,Moderate,Mild,Moderate
Moderate,No,Moderate,No,Severe,Mild,No,Mild
No,Severe,No,Moderate,No,Mild,Mild,Mild
Moderate,Severe,Severe,No,Severe,No,Severe,Moderate
No,Severe,Moderate,No,No,Moderate,Severe,Mild
Moderate,Moderate,No,Mild,No,Severe,Mild,Mild
Mild,Severe,Mild,Mild,No,Mild,Moderate,Mild
No,Mild,Moderate,Moderate,Moderate,No,No,Mild
Mild,Mild,Moderate,Moderate,No,Moderate,Severe,Moderate
No,Mild,No,Mild,Moderate,Moderate,Mild,Mild
No,Severe,Mild,Moderate,Mild,Mild,No,Mild
